route_location_id,route_id,beginning_milepoint,ending_milepoint,location_id,facility_type,program,num_aadt,num_caadt,num_single_unit_caadt,num_combined_unit_caadt,street_name,from_description,to_description,num_lanes,nfc_name,posted_speed,ObjectId,Shape__Length
1591204-82-5924-0-0.1750227,1591204,0,0.1750227,82-5924,1 - One-Way Roadway,Non-Trunkline,1435,39,28,11,M 10 Service Drive,N M 10,N M 10,3,Major collector,55,860,381.645691137342
4705635-82-0628-0-0.2086894,4705635,0,0.2086894,82-0628,4 - Ramp,Ramp,3919,,,,I 75/12th Ramp,Bridge 11763,Henry Dr,1,Interstate,40,861,453.824440391409
1591204-82-6165-0.1750227-1.2410296,1591204,0.1750227,1.24103,82-6165,1 - One-Way Roadway,Non-Trunkline,1452,40,27,13,M 10 Service Drive,N M 10/Milwaukee RAMP,N M 10,3,Major collector,55,862,2326.04210098433
4705636-82-0330-0-0.3518573,4705636,0,0.3518573,82-0330,4 - Ramp,Ramp,10468,,,,I 96/I 94 Ramp,W I 96,E I 96,2,Interstate,40,863,766.605165790826
1591205-82-1137-0-0.1010536,1591205,0,0.1010536,82-1137,2 - Two-Way Roadway,Non-Trunkline,2989,87,57,30,Antoinette St,Cass Ave,W I 94,2,Major collector,25,864,220.030509494814
4705639-82-7543-0-0.1488972,4705639,0,0.1488972,82-7543,4 - Ramp,Ramp,1633,,,,Chicago/M 10 Ramp,S M 10 Service Drive,S M 10,1,Other freeway,40,865,324.112007793882
1591206-82-0596-0-0.1582625,1591206,0,0.1582625,82-0596,4 - Ramp,Ramp,974,,,,Brush/Gratiot Conn Ramp,S I 75/N Connector 8 RAMP,N I 75/Gratiot CONN,1,Other freeway,40,866,344.519390348532
4705640-82-6522-0-0.1103422,4705640,0,0.1103422,82-6522,1 - One-Way Roadway,Non-Trunkline,1404,39,28,11,Hamilton Ave,S M 10 Service Drive,Hamilton Ave,2,Minor arterial,25,867,240.926638026704
4705644-82-2491-0-0.4484626,4705644,0,0.4484626,82-2491,1 - One-Way Roadway,Non-Trunkline,983,29,19,10,I 96 Service Drive,W I 96,Joy Rd,2,Major collector,35,868,976.375774010172
4705644-82-6542-0.4484626-1.2689247,4705644,0.4484626,1.268925,82-6542,1 - One-Way Roadway,Non-Trunkline,2925,85,55,30,I 96 Service Drive,W I 96,Oakman Blvd,2,Major collector,35,869,1789.61465139357
1591207-82-5951-0-0.1419753,1591207,0,0.1419753,82-5951,2 - Two-Way Roadway,Non-Trunkline,5280,148,106,42,Madison St,Witherell St,Randolph St,3,Minor arterial,25,870,308.748791027611
4705651-82-9719-0-0.2124001,4705651,0,0.2124001,82-9719,4 - Ramp,Ramp,4176,,,,I 96/Livernois Ramp,Underwood St & W I 96,W I 96 Service Drive,1,Interstate,40,871,462.592388279421
4705652-82-2492-0-2.6522832,4705652,0,2.652283,82-2492,2 - Two-Way Roadway,Non-Trunkline,7356,212,139,73,Chicago Blvd,Chicago St,Arden Park Blvd,3,Major collector,25,872,5775.50009021141
1591207-82-5952-0.1419753-0.3615001,1591207,0.1419753,0.3615001,82-5952,2 - Two-Way Roadway,Non-Trunkline,7697,215,154,61,Madison St,Witherell St,Saint Antoine St,3,Minor arterial,25,873,477.813881389887
4705662-82-7636-0-0.2939905,4705662,0,0.2939905,82-7636,4 - Ramp,Ramp,20947,,,,I 75/I 94 Ramp,N I 75/W I 94 RAMP,W I 94,1,Interstate,40,874,641.889098582009
4705662-82-7637-0.2939905-0.4709021,4705662,0.2939905,0.4709021,82-7637,4 - Ramp,Ramp,15854,,,,I 75/I 94 Ramp,N I 75/W I 94 RAMP,W I 94,1,Interstate,40,875,385.770056334924
4705662-82-7669-0.4709021-0.5696201,4705662,0.4709021,0.5696201,82-7669,4 - Ramp,Ramp,20698,,,,I 75/I 94 Ramp,N I 75/W I 94 RAMP,W I 94,1,Interstate,40,876,215.087046212048
1591208-82-0573-0.1398206-0.3310541,1591208,0.1398206,0.3310541,82-0573,4 - Ramp,Ramp,577,,,,I 375/Gratiot Conn Ramp,N I 375/S I 75 RAMP,N I 75/Gratiot CONN,2,Interstate,40,877,416.353112159874
4705666-82-2493-0-0.1251137,4705666,0,0.1251137,82-2493,2 - Two-Way Roadway,Non-Trunkline,2190,63,41,22,Canfield St W,2nd Ave,Cass Ave,2,Major collector,25,878,272.269122404471
1591208-82-7703-0-0.1398206,1591208,0,0.1398206,82-7703,4 - Ramp,Ramp,8005,,,,I 375/Gratiot Conn Ramp,N I 375/S I 75 RAMP,N I 75/Gratiot CONN,2,Interstate,40,879,305.050859532117
4705675-82-2494-0-0.3631186,4705675,0,0.3631186,82-2494,2 - Two-Way Roadway,Non-Trunkline,1292,37,25,12,Orleans St,Napolean St,Erskine St,2,Major collector,25,880,792.061861950098
4705681-82-2495-0-0.3232703,4705681,0,0.3232703,82-2495,2 - Two-Way Roadway,Non-Trunkline,1229,35,23,12,Russell St,Canfield St,Forest Ave,4,Minor arterial,25,881,705.280203882437
1591301-82-0324-0-0.9138905,1591301,0,0.9138905,82-0324,1 - One-Way Roadway,Non-Trunkline,1363,39,26,13,Chrysler Dr,Circle Dr,Carpenter Ave,3,Major collector,55,882,1994.55787029738
4705681-82-5978-0.3232703-1.3246739,4705681,0.3232703,1.324674,82-5978,2 - Two-Way Roadway,Non-Trunkline,4157,115,82,33,Russell St,Warren Ave,Grand Blvd,2,Minor arterial,25,883,2185.05597609674
1591302-82-6248-0-1.7743317,1591302,0,1.774332,82-6248,1 - One-Way Roadway,Non-Trunkline,7989,232,152,80,I 75 Service Drive,McNichols Rd,S I 75,3,Major collector,30,884,3876.7832877111
4705698-82-2496-0-0.1619914,4705698,0,0.1619914,82-2496,1 - One-Way Roadway,Non-Trunkline,735,21,15,6,Joseph Campau St,Vernor Hwy,Charlevoix St,3,Minor arterial,25,885,353.373804245033
1591303-82-1186-0.5517987-1.7899212,1591303,0.5517987,1.789921,82-1186,1 - One-Way Roadway,Non-Trunkline,3659,107,70,37,I 75 Service Drive,N I 75,N I 75,3,Major collector,30,886,2706.13627617318
4705698-82-2497-0.1619914-0.3222296,4705698,0.1619914,0.3222296,82-2497,2 - Two-Way Roadway,Non-Trunkline,734,22,14,8,Joseph Campau St,Charlevoix St,Gratiot Ave,2,Minor arterial,25,887,349.560605216501
1591303-82-6249-0-0.5517987,1591303,0,0.5517987,82-6249,1 - One-Way Roadway,Non-Trunkline,1900,56,36,20,I 75 Service Drive,N I 75,N I 75,2,Major collector,30,888,1204.67464042234
4705710-82-0646-0-0.3638761,4705710,0,0.3638761,82-0646,4 - Ramp,Ramp,3989,,,,M 10/Bagley Ramp,S M 10/N I 75 RAMP & S M 10,Bridge 11766,2,Other freeway,40,889,792.425693752861
1591304-82-1318-0-0.5622121,1591304,0,0.5622121,82-1318,1 - One-Way Roadway,Non-Trunkline,5939,173,113,60,I 375 Service Drive,N I 375,Antietam Ave,2,Major collector,25,890,1226.11901679631
1591307-82-5993-0-0.6181154,1591307,0,0.6181154,82-5993,1 - One-Way Roadway,Non-Trunkline,2165,59,42,17,Harper Ave,Mount Elliott St,Harper Ave,1,Minor arterial,30,891,1346.52388007502
1591307-82-5994-0.6181154-0.9495677,1591307,0.6181154,0.9495677,82-5994,2 - Two-Way Roadway,Non-Trunkline,4609,129,92,37,Harper Ave,Harper Ave,Carrie St,2,Minor arterial,30,892,722.641856127481
