OBJECTID,FENAME,FETYPE,NFC,LegalSystem,Nhs,FedAid,COUNTYL,COUNTYR,SEMMCDL,SEMMCDR,COMMUNITYL,COUNTYNAMEL,COMMUNITYR,COUNTYNAMER,VER,lenmi,Shape__Length
53555,Saddle,Ln,7,5,0,No,163,163,1085,1085,Grosse Pointe Woods,Wayne,Grosse Pointe Woods,Wayne,22,0.38689,2043.136996
53562,Saddleback,Dr,7,5,0,No,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.15597,823.7922355
53564,Saddlebrook,Ct,0,0,0,No,163,163,1145,1145,Plymouth Twp,Wayne,Plymouth Twp,Wayne,22,0.31347,1655.661532
53576,Sadie,Ln,0,0,0,No,163,163,1200,1200,Van Buren Twp,Wayne,Van Buren Twp,Wayne,22,1.37473,7260.929054
53587,Sage,Cir,0,0,0,No,163,163,1200,1200,Van Buren Twp,Wayne,Van Buren Twp,Wayne,22,0.78591,4150.993885
53603,Saginaw,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02671,141.0747726
53604,Saginaw,Ct,7,5,0,No,163,163,1210,1210,Westland,Wayne,Westland,Wayne,22,0.04874,257.4470898
53606,Saginaw St,Turn,4,1,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.05635,297.571734
53612,Saint Aloysius,St,7,5,0,No,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.25048,1322.935072
53621,Saint Andrews,Dr,7,3,0,No,163,163,1145,1145,Plymouth Twp,Wayne,Plymouth Twp,Wayne,22,0.04496,237.4375733
53625,Saint Andrews,Dr,7,5,0,No,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.24433,1290.471253
53637,Saint Antoine,St,0,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.04313,227.7848175
53638,Saint Antoine,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.55645,8219.979494
53639,Saint Antoine,St,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.17176,6188.317659
53640,Saint Antoine,St,7,4,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.16526,872.8095661
53641,Saint Antoine,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.68144,3598.810059
53642,Saint Aubin,St,4,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,3.92261,20716.10764
